Folio,Line,Book,Chapter,Lemma,Number,Case,Form,Morph,Pos,Rel,New Stemtype,
114v,23,1,19,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
128r,13,2,23,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,adv,ambiguous,
135v,23,3,23,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
136r,20,3,23,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
138v,10,3,24,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
149r,28,3,25,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
192r,22,3,32,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,adv,ambiguous,
226v,28,3,40,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
227r,10,3,40,имѧ,Singular,Instrumental,и҅менемъ,-s---ni--i,Nb,atr,ambiguous,
227r,22,3,40,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
238v,7,3,41,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
244r,15,3,43,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,adv,ambiguous,
257v,8,3,46,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
257v,13,3,46,имѧ,Singular,Instrumental,їменемь҆,-s---ni--i,Nb,adv,ambiguous,
260r,20,3,46,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,adv,ambiguous,
268r,8,3,47,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
270r,2,3,47,имѧ,Singular,Instrumental,и҅менемъ,-s---ni--i,Nb,atr,ambiguous,
270r,15,3,47,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
270r,27,3,47,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
274r,15,3,48,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,atr,ambiguous,
276v,19,3,48,имѧ,Singular,Instrumental,и҅менемꙿ,-s---ni--i,Nb,atr,ambiguous,
278r,27,3,48,имѧ,Singular,Instrumental,и҅менемь,-s---ni--i,Nb,atr,ambiguous,
069v,17,1,9,имѧ,Singular,Instrumental,и҅менемь҆,-s---ni--i,Nb,adv,ambiguous,
183v,22,3,31,пламꙑ,Singular,Instrumental,пламꙑмъ,-s---mi--i,Nb,adv,analogical,
031v,26,1,4,племѧ,Singular,Instrumental,племенемъ,-s---ni--i,Nb,adv,ambiguous,
032r,8,1,4,племѧ,Singular,Instrumental,племенемь҆,-s---ni--i,Nb,adv,ambiguous,
048v,29,1,6,чисмѧ,Singular,Instrumental,чисменемъ,-s---ni--i,Nb,adv,ambiguous,
205r,6,3,36,чисмѧ,Singular,Instrumental,чисменемь҆,-s---ni--i,Nb,adv,ambiguous,
184r,21,3,31,брѣмѧ,Singular,Locative,брѣмене,-s---nl--i,Nb,obl,ambiguous,
049v,12,1,6,врѣмѧ,Singular,Locative,врѣмени,-s---nl--i,Nb,obl,ambiguous,
086r,8,1,14,врѣмѧ,Singular,Locative,врѣмени,-s---nl--i,Nb,obl,ambiguous,
269v,30,3,47,врѣмѧ,Singular,Locative,врѣмени,-s---nl--i,Nb,obl,ambiguous,
270r,13,3,47,врѣмѧ,Singular,Locative,врѣмени,-s---nl--i,Nb,obl,ambiguous,
015r,2,1,3,дьнь,Singular,Locative,дь҆ни,-s---ml--i,Nb,obl,ambiguous,
206v,27,3,36,дьнь,Singular,Locative,дьни,-s---ml--i,Nb,obl,ambiguous,
252r,16,3,44,дьнь,Singular,Locative,дни,-s---ml--i,Nb,obl,ambiguous,
049r,15,1,6,имѧ,Singular,Locative,и҅мени,-s---nl--i,Nb,obl,ambiguous,
053r,22,1,7,имѧ,Singular,Locative,и҅мени,-s---nl--i,Nb,obl,ambiguous,
082v,20,1,12,имѧ,Singular,Locative,и҅мени,-s---nl--i,Nb,obl,ambiguous,
103r,5,1,16,имѧ,Singular,Locative,и҅мени,-s---nl--i,Nb,obl,ambiguous,
114r,5,1,19,имѧ,Singular,Locative,и҅мени,-s---nl--i,Nb,obl,ambiguous,
088r,2,1,14,камꙑ,Singular,Locative,камени,-s---ml--i,Nb,obl,ambiguous,
104v,8,1,16,камꙑ,Singular,Locative,камени,-s---ml--i,Nb,obl,ambiguous,
107v,23,1,18,камꙑ,Singular,Locative,камени,-s---ml--i,Nb,obl,ambiguous,
125v,27,2,21,пламꙑ,Singular,Locative,пламени,-s---ml--i,Nb,obl,ambiguous,
283r,28,3,48,пламꙑ,Singular,Locative,пламени,-s---ml--i,Nb,obl,ambiguous,
116v,16,1,19,сѣмѧ,Singular,Locative,сѣмени,-s---nl--i,Nb,obl,ambiguous,
146r,6,3,25,брѣмѧ,Singular,Nominative,брѣмꙙ,-s---nn--i,Nb,sub,etymological,
053r,15,1,7,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,xobj,etymological,
053r,17,1,7,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,xobj,etymological,
053r,17,1,7,врѣмѧ,Singular,Nominative,врѣмꙙ,-s---nn--i,Nb,xobj,etymological,
